vx,vy,omega,vx_cmd,vy_cmd,omega_cmd,filtered_x,filtered_y,x,y,filtered_theta
0.047890787563774156,0.031371220084878984,-1.1721381368117483,0.0,0.0,-0.993606,-0.15203468662551303,-0.005718826695832811,-0.151308,-0.00579514,0.28588690728786537
0.055568703116149115,0.029902007042038468,-1.1295852904936818,0.0,0.0,-0.945298,-0.1507608616272339,-0.005314014054960911,-0.150206,-0.00542019,0.27167051347422916
0.058855144483810955,0.03003961786907751,-1.1358102868562585,0.0,0.0,-0.885347,-0.1496545019878757,-0.004826484752185932,-0.149417,-0.00481654,0.25292264630511324
0.05781319333679353,0.030020834651732154,-1.1760028472149826,0.0,0.0,-0.806736,-0.1487817010851402,-0.004347092589062136,-0.148857,-0.00434845,0.23033404470602434
0.05301963617567672,0.03048384521190757,-1.2248486139699761,0.6097804366993372,2.1880710175850582e-05,-0.723898,-0.1481735829404468,-0.00383615048694258,-0.14852,-0.00380269,0.2060824215290504
0.04438564541361342,0.02720088236124762,-1.0512276710188393,0.6097804114034677,-0.00017699891962946745,-0.723898,-0.147896045472849,-0.003565439394852458,-0.14852,-0.00380269,0.20575627195094326
0.03506227149310143,0.025022714159114057,-1.153220103157778,0.609426016619511,8.554107427136137e-05,-0.622261,-0.1478022256671262,-0.003274219834989812,-0.148476,-0.00343163,0.17836227027303625
0.02524281327947436,0.0227802363054702,-1.1551152936849294,0.6095246569628257,0.0,-0.554693,-0.14789037503340619,-0.003022102355132076,-0.1486,-0.00318416,0.1596957721669986
0.016646555107319355,0.018512991077612513,-1.1106991398955728,0.0,0.0,-0.498588,-0.148054772302355,-0.0029397180418155033,-0.148676,-0.0032481,0.14608333014803965
0.011901687472500363,0.01318978883936871,-1.0159102118639038,0.0,0.0,-0.464739,-0.1481021015973035,-0.0029954169621311164,-0.148445,-0.00338011,0.13852991355045757
0.01393004481882979,0.009654045198227636,-0.929195596112551,0.0,0.0,-0.438788,-0.14777758375062994,-0.003018121629372526,-0.147631,-0.00327364,0.131490882630141
0.02122688814605569,0.006706387389500372,-0.8499105616038127,0.0,0.0,-0.412463,-0.14707232259658326,-0.0030585209587746915,-0.146545,-0.00327154,0.1250803842466126
0.03317766362474658,0.0058485665072160655,-0.7981567190392036,0.0,0.0,-0.384715,-0.14594264934451873,-0.003007927667868892,-0.145079,-0.00306992,0.11701511520911148
0.0459242048507797,0.00632820842274934,-0.7465929230022825,0.0,0.0,-0.361115,-0.14456915712443782,-0.0028826423887874865,-0.143648,-0.00284798,0.10979580452649045
0.05733787198390993,0.006900572438077547,-0.7080241231185063,0.0,0.0,-0.333141,-0.14307983401647628,-0.002743553157357138,-0.142255,-0.00270219,0.10200263105925907
0.0660636191835098,0.007621828208528008,-0.6702364833623822,0.0,0.0,-0.308165,-0.1415855855099377,-0.0025854631508776538,-0.140955,-0.00253334,0.09475439654331712
0.07133600157608987,0.008739396710345473,-0.6096596106054184,0.0,0.0,-0.297311,-0.1401800204288023,-0.0023896335710144384,-0.139799,-0.00230887,0.09057277754058428
0.07277154949726475,0.009828053438879459,-0.5321531818761707,0.0,0.0,-0.297255,-0.1389437430603027,-0.0021778341974763196,-0.13884,-0.00209916,0.08915688859950403
0.06948626907123469,0.011091323087768723,-0.43510309022469085,0.0,0.0,-0.312046,-0.13799658191013925,-0.0019370729881546692,-0.138234,-0.00184578,0.09107605576667323
0.06182450979430747,0.011664993439561419,-0.3670289644523028,0.0,0.0,-0.318099,-0.1373913059414691,-0.0017216875626644267,-0.137945,-0.00168023,0.09143083428850919
0.05146943917340756,0.011562935266726151,-0.33092549866016796,0.0,0.0,-0.313888,-0.13708666781267503,-0.0015417945393674034,-0.137835,-0.00154917,0.08945327617207093
0.03949589353713588,0.010913018615253149,-0.3203268442379989,0.0,0.0,-0.300176,-0.13705470511944726,-0.0013997523290703495,-0.13792,-0.00144672,0.08530534300177157
0.02569842465889021,0.009171190896082357,-0.3309253702247239,0.0,0.0,-0.274487,-0.1373348952536194,-0.0013402929495432373,-0.138332,-0.00146617,0.07903024079571094
0.012782251923954692,0.00550148951279392,-0.3508868806919695,0.5888891592564663,0.0053024857578544485,-0.237815,-0.1377775840776505,-0.0014361508754819018,-0.138711,-0.00170135,0.07156334086310694
0.002354583546014505,0.0012704390992920476,-0.36503353760944873,0.0,0.0,-0.202534,-0.13826242137445072,-0.0016278337404993044,-0.139016,-0.0019336,0.06440705329293257
-0.006124182455333561,-0.0022760262932738384,-0.3643162013850525,0.0,0.0,-0.174885,-0.1387852631351447,-0.001841956798181109,-0.139398,-0.00209825,0.05864464096714782
-0.011802579030167827,-0.004642465482787567,-0.34832146033569034,0.0,0.0,-0.155555,-0.139258638054156,-0.002034814013755914,-0.139669,-0.00220583,0.05455278264361558
-0.012890350179631709,-0.005207497876401221,-0.3310656297376236,0.0,0.0,-0.1412,-0.13951938980086293,-0.002146446678576874,-0.139598,-0.00218728,0.05084885843529466
-0.010753875244514266,-0.004843295326099814,-0.33009959636718406,0.0,0.0,-0.120462,-0.13958439710842094,-0.002205689906553443,-0.13943,-0.00217937,0.045656418821886535
-0.0044777624981378146,-0.0040080840224359995,-0.32384168646094985,0.5892746654303919,0.0,-0.102115,-0.1393415572331023,-0.00222796840069384,-0.138888,-0.00216761,0.0410542520026843
0.003581488455059188,-0.00245587265710197,-0.3231165692198492,0.5880001701973437,0.011289482638231742,-0.0839749,-0.1388804196777407,-0.002189484003320333,-0.138298,-0.00207731,0.035951437007625
