,vx,vy,omega,vx_cmd,vy_cmd,omega_cmd,filtered_x,filtered_y,x,y
12962,0.166742072190191,0.3546026762165796,2.1519342869143747,0.0,0.0,-2.20384,-0.1328548084663307,-0.10520741224206541,-0.135241,-0.109747
12963,0.135796780244971,0.29109980193156465,1.9540301027443971,0.0,0.0,-2.2794,-0.1322326697173231,-0.10373182368678249,-0.134469,-0.108321
12964,0.10660025333505034,0.23070772393551528,1.6939136639431973,0.0,0.0,-2.31719,-0.13199004810834455,-0.10306663229277553,-0.1341,-0.107431
12965,0.0803849142576058,0.17575073256903276,1.327199079721721,0.5594730957146965,0.3412318529393381,-2.29328,-0.13201749027124016,-0.10300841090479151,-0.133912,-0.10698
12966,0.055859815805500534,0.12638065129228776,0.8638209540444806,0.5588878479540038,0.3313140616851966,-2.20489,-0.13235263926573496,-0.10346016137650756,-0.134125,-0.107028
12967,0.034113757492447105,0.08347611437247947,0.40185110481243835,0.5590195188578884,0.3252695458014706,-2.07045,-0.1328964727763943,-0.10427440830586289,-0.134468,-0.107375
12968,0.014967660231341585,0.0479986209231427,-0.06026305715552771,0.5598108547768018,0.3221627541896587,-1.88714,-0.1336163647389114,-0.10528414010510316,-0.135,-0.107848
12969,0.002327271617550499,0.022670131574161347,-0.44870053715999497,0.4902355172927289,0.436580148368808,-1.68597,-0.13421251422995567,-0.10619058043744241,-0.135126,-0.108021
12970,-0.0020284336776801764,0.006878719775022531,-0.8088650220634104,0.4893622195916691,0.43638894685969654,-1.46014,-0.13446322527848878,-0.10687179853791165,-0.134778,-0.108013
12971,0.00037575383421446437,-0.002835880880020108,-1.143579348884224,0.48820851447523317,0.4364196127706523,-1.2109,-0.1343367439526375,-0.10740395279787816,-0.134163,-0.108106
12972,0.001587905616549178,-0.007581475007658071,-0.9944583513913787,0.4875267762315213,0.43718105456927114,-1.2109,-0.1342505988419445,-0.10776304909568417,-0.134163,-0.108106
12973,0.0020373524679570716,-0.0091832585013108,-0.8256299498017836,0.48721427415552354,0.43752929396339424,-1.2109,-0.13419548027538525,-0.10799024355667773,-0.134163,-0.108106
12974,0.01690909859657747,-0.009485511151359916,-1.5560526007010154,0.48266397043361836,0.4394185599246523,-0.829942,-0.13317973977891664,-0.10815715704064059,-0.132105,-0.108179
12975,0.039371154631700274,-0.005771516361926266,-1.8675875504434691,0.48378282449829996,0.43435856960609975,-0.510921,-0.13142427038993373,-0.10806340008593288,-0.129801,-0.107795
12976,0.0650717774362682,0.001135382532727527,-2.023923615151953,0.47904639937306576,0.43532166875507255,-0.242381,-0.12909531261360388,-0.10769914239571063,-0.127238,-0.1072
12977,0.0908795888547521,0.013239970764103468,-2.1852957857957698,0.47574376024413295,0.43360369916847213,-0.00749694,-0.12634805883696099,-0.10688076496486382,-0.124483,-0.106006
12978,0.11556596648824682,0.027584475452319755,-2.2783903294027423,0.4724487148416749,0.4314887452220391,0.201916,-0.12326201593266953,-0.10572063750469848,-0.121478,-0.104684
12979,0.14010040267465346,0.04421522933468905,-2.326429407653472,0.4690630516350638,0.42889178665510896,0.394751,-0.11979103554638271,-0.10417985838274614,-0.118018,-0.102978
12980,0.16228954083926395,0.06242956629566784,-2.35359356102229,0.4652727482909813,0.4259749797896083,0.576981,-0.11608254737359928,-0.10226829953263408,-0.114479,-0.100952
12981,0.18035573004415165,0.08023929178898156,-2.347145645088948,0.4609064638837297,0.42285507999218375,0.744018,-0.11229159330585672,-0.10009205938587898,-0.110986,-0.098805
12982,0.19639834239912776,0.09858310273281021,-2.3323912607010953,0.45641463629010964,0.41945330889762555,0.906012,-0.10834535502842207,-0.09759555625769516,-0.107186,-0.0962699
12983,0.21034578291122152,0.11592815101537926,-2.3075029384935717,0.45149603456790866,0.41577178191341213,1.0636,-0.10428094277973675,-0.0948715784547345,-0.103273,-0.0936181
12984,0.2223530559422571,0.13173753112517161,-2.293835468963,0.44613919309000233,0.4117944595863351,1.22482,-0.10012163226567741,-0.09197159998198319,-0.0992539,-0.0908291
12985,0.2314065733376311,0.1445107588834958,-2.251832678019114,0.44004831904977576,0.4073824328459277,1.37386,-0.09596547255143878,-0.0890193856859918,-0.0953112,-0.0880963
12986,0.2377188794289478,0.15484868286743322,-2.1970327883534035,0.4334261910261272,0.4026814161748504,1.51422,-0.09184567282559578,-0.08602379304750515,-0.0913895,-0.0852767
12987,0.2429876712371133,0.1665647469501836,-2.1285561795377257,0.42671834801369846,0.3980688007988821,1.63753,-0.08769386094724131,-0.08277168740396502,-0.0873131,-0.081925
12988,0.24862565787392465,0.17995623502050515,-2.023487922385359,0.4199983762869752,0.3932577764486094,1.73924,-0.08343334163188212,-0.07922136564120905,-0.0830259,-0.0782536
12989,0.253632555807368,0.19526724477499657,-1.8916556993505604,0.4125971482633337,0.3883165372617611,1.8149,-0.07912433460445786,-0.07532988414088139,-0.0787625,-0.0742234
12990,0.258520809792538,0.21152020243750844,-1.7253941982031014,0.40494967383185,0.3829942903601545,1.86476,-0.07474306053590975,-0.07113115609945717,-0.0743898,-0.0699566
12991,0.2594807178080469,0.22626223052547573,-1.5000115655297903,0.3954917921143307,0.3767304964854784,1.86783,-0.07054326988565068,-0.06677226541647613,-0.0704739,-0.0657069
12992,0.2580850816593589,0.2411953105114937,-1.2261026314116932,-1.1159650428895893,-1.217628854802824,3.92515,-0.06648384125261979,-0.06216487220640496,-0.0665847,-0.0610857
12993,0.2550135798004296,0.254611338979976,-0.9176210266970797,-1.101798637027249,-1.230462420574028,3.92515,-0.06255753109330552,-0.057418839107610746,-0.0627795,-0.0564493
12994,0.2526953471668569,0.2684393661020694,-0.6075825024750356,-1.0800916743526385,-1.2495599145275562,3.92515,-0.05863056776763567,-0.052430913105772525,-0.0587981,-0.0514316
12995,0.2523119132794465,0.28042476380874526,-0.26547741377890915,-1.0456389026446946,-1.2785293466620147,3.92515,-0.05461279029813847,-0.047343551396755716,-0.0546405,-0.0464774
12996,0.2509901435175798,0.2895366138980521,0.06308284249139529,-1.0028369696330224,-1.312370381156652,3.92515,-0.050663179371194106,-0.04225438809318074,-0.0507587,-0.0415959
12997,0.24761553218055174,0.2926954305819402,0.3546605354694771,-0.9555306616300112,-1.3472042011829213,3.92515,-0.046870426213363243,-0.03741297890653316,-0.0471143,-0.0371847
12998,0.23892885092993293,0.2861838071220672,0.5679603946559096,-0.9126614906251661,-1.3766070639546528,3.92515,-0.043482837677669695,-0.03316032306188348,-0.0441106,-0.0336309
12999,0.22035022051213277,0.26709356874816265,0.7574263792042523,-0.8686988092776351,-1.404763461853852,3.92515,-0.04088817399125081,-0.02984340150551308,-0.0422308,-0.031223
13000,0.1912096951321748,0.2360851809725732,0.9055218399634178,-0.8266610876461133,-1.4299053993784852,3.92515,-0.039288995183342376,-0.027619809956942874,-0.0413949,-0.0298607
13001,0.1517831563402257,0.19359383988402426,1.0173982324886848,-0.7870413529296314,-1.4520894992316056,3.92515,-0.038836053568663896,-0.026651468820727543,-0.0416853,-0.0297222
13002,0.10545280702021206,0.1422658097457165,1.0947049363636558,-0.7503739886049503,-1.4713724485068687,3.92515,-0.03947033436062717,-0.02694716585147594,-0.0428185,-0.0306565
13003,0.05880640698551405,0.08388555032253414,1.1327345416184609,-0.718183983413925,-1.487349915442801,3.92515,-0.04086679425346769,-0.028530320832192736,-0.0442378,-0.0327493
13004,0.016579886821707704,0.0213914007436196,1.1539950191432173,-0.6876309603145312,-1.501719570165121,3.92515,-0.04271740669328459,-0.031319521419049166,-0.045769,-0.0358358
13005,-0.020282694453772454,-0.040893846120350644,1.1310071374427006,-0.663552415052542,-1.512513205720181,3.92515,-0.04488904365568995,-0.035094818237925214,-0.047553,-0.039596
13006,-0.05222360139673513,-0.10145363523681189,1.0823296916003946,-0.6439218684643054,-1.5209742378861772,3.92515,-0.04732511938726058,-0.03975261227600585,-0.0496334,-0.0441291
13007,-0.08150051998170778,-0.1561745893541223,1.0190862287164466,-0.6276418425351276,-1.5277642889199594,3.92515,-0.05009613842531709,-0.04499336866107631,-0.0522119,-0.0489479
13008,-0.10904844719254649,-0.20325045439296224,0.9731973436081653,-0.6100277198918684,-1.5348824664981773,3.92515,-0.05322128782877748,-0.05060425801067467,-0.0552121,-0.0540063
13009,-0.13251315900717875,-0.24516497138215254,0.9503458509892946,-0.5897864367146699,-1.542773464921993,3.92515,-0.0565172704622648,-0.05662715429596743,-0.058213,-0.0596562
13010,-0.15274884109935966,-0.2861788324109249,0.9365973676224111,-0.5685445148932488,-1.5507272937511614,3.92515,-0.05997522347004268,-0.06326114220019924,-0.0614376,-0.0662251
13011,-0.1684409100725241,-0.3262444775274619,0.9199962654543944,-0.5480294887200002,-1.5580955312474567,3.92515,-0.06345657776796987,-0.07048866713002708,-0.0645906,-0.0733841
13012,-0.1776583606042261,-0.36538889441271805,0.8746759336062628,-0.5326710041856467,-1.5634128073864098,3.92515,-0.06676098045620601,-0.07829634173512426,-0.0674271,-0.0811252
13013,-0.18242933979383866,-0.4045485938261892,0.8097017412629794,-0.5215990346234495,-1.5671414907658738,3.92515,-0.06991891458777512,-0.08673133730926512,-0.0702637,-0.0895613
13014,-0.18629864231007193,-0.4429151549515933,0.728246938239462,-0.514826785428795,-1.5693792995974727,3.92515,-0.07309357625609711,-0.09574045521000088,-0.0733732,-0.0985131
13015,-0.1891188378892382,-0.48333350623998295,0.631648720768642,-0.5125928103108819,-1.5701103833226477,3.92515,-0.07626079230001366,-0.10549907803480713,-0.0764646,-0.10842
13016,-0.18853135085767073,-0.525086514272118,0.5098485263701378,-0.5170112543088231,-1.5686610111550605,3.92515,-0.07924785605572893,-0.11599262609962097,-0.0792054,-0.11901
13017,-0.1870162131235682,-0.5666617724479088,0.3949377374168475,-0.5233744862751532,-1.5665494413251755,3.92515,-0.08216419479498199,-0.12714247158794884,-0.0820547,-0.130147
13018,-0.18862304441653552,-0.6053893434933884,0.24156902755348358,-0.5392658598847884,-1.5611503250368683,3.92515,-0.08526267876624409,-0.13876926602596473,-0.0853788,-0.141568
13019,-0.19095042853453523,-0.6369520850615854,0.04209151885141796,-0.5671074527112133,-1.551253410013786,3.92515,-0.08843450641527902,-0.15054204834834922,-0.0886027,-0.152823
13020,-0.19088601479512055,-0.6600538800979915,-0.17925132230899193,-0.6044758392435933,-1.537077410142623,3.92515,-0.09148545500200575,-0.16226049744964224,-0.0914808,-0.16393
13021,-0.1893840761684767,-0.6772581074226051,-0.4158490613636938,-0.6511098722334616,-1.5179110445873054,3.92515,-0.09444034093215316,-0.17395869828469548,-0.0943318,-0.175202
